Partición,Modelo,Accuracy,Precision,Recall,F1-Score,CV_Mean,CV_Std
CH,Naive Bayes,0.9323,0.9507,0.9469,0.9488,0.9327,0.0036
CH,KNN (k=1),0.9426,0.9574,0.9553,0.9563,0.9408,0.0025
CH,KNN (k=3),0.9493,0.9630,0.9610,0.9620,0.9493,0.0027
CH,KNN (k=5),0.9504,0.9642,0.9607,0.9624,0.9498,0.0031
CH,KNN (k=7),0.9488,0.9635,0.9590,0.9612,0.9505,0.0031
CH,Red Neuronal (MLP),0.9904,0.9925,0.9916,0.9920,0.9904,0.0016
DB,Naive Bayes,0.9997,0.9999,0.9957,0.9978,0.9999,0.0001
DB,KNN (k=1),0.9999,0.9999,0.9978,0.9989,0.9998,0.0002
DB,KNN (k=3),0.9999,0.9999,0.9978,0.9989,0.9999,0.0001
DB,KNN (k=5),0.9999,0.9999,0.9978,0.9989,0.9999,0.0001
DB,KNN (k=7),0.9999,0.9999,0.9978,0.9989,0.9999,0.0001
DB,Red Neuronal (MLP),0.9999,0.9999,0.9978,0.9989,0.9999,0.0001
Silhouette,Naive Bayes,0.9997,0.9999,0.9957,0.9978,0.9999,0.0001
Silhouette,KNN (k=1),0.9999,0.9999,0.9978,0.9989,0.9998,0.0002
Silhouette,KNN (k=3),0.9999,0.9999,0.9978,0.9989,0.9999,0.0001
Silhouette,KNN (k=5),0.9999,0.9999,0.9978,0.9989,0.9999,0.0001
Silhouette,KNN (k=7),0.9999,0.9999,0.9978,0.9989,0.9999,0.0001
Silhouette,Red Neuronal (MLP),0.9999,0.9999,0.9978,0.9989,0.9999,0.0001
